Date,i01_momentum,i02_price_strength,i03_breadth_rsi,i04_volatility,i05_safe_haven,i06_credit_spread,i07_foreign_flow,i08_trading_volume,i09_kosdaq_kospi,sentiment_raw,sentiment_index,grade
2016-03-07,,,,,,,,,,,,N/A
2016-03-08,,,,,,,,,,,,N/A
2016-03-09,,,,,,,,,,,,N/A
2016-03-10,,,,,,,,,,,,N/A
2016-03-11,,,,,,,,,,,,N/A
2016-03-14,,,,,,,,,,,,N/A
2016-03-15,,,,,,,,,,,,N/A
2016-03-16,,,,,,,,,,,,N/A
2016-03-17,,,,,,,,,,,,N/A
2016-03-18,,,,,,,,,,,,N/A
2016-03-21,,,,,,,,,,,,N/A
2016-03-22,,,,,,,,,,,,N/A
2016-03-23,,,,,,,,,,,,N/A
2016-03-24,,,64.19525759717087,,,,,,,64.2,64.2,탐욕
2016-03-25,,,61.47296808087848,,,,,,,61.5,62.8,탐욕
2016-03-28,,,59.86541123574893,,,,,,,59.9,61.8,탐욕
2016-03-29,,,68.50460207305503,,,,,,,68.5,63.5,탐욕
2016-03-30,,,72.26271997053729,,,,,,,72.3,65.3,탐욕
2016-03-31,,,64.99641523889315,,,,,,,65.0,65.4,탐욕
2016-04-01,,,46.97727029133662,,,,,,,47.0,62.5,탐욕
2016-04-04,,,50.555186505945116,,,,,,,50.6,60.7,탐욕
2016-04-05,,,41.49271088370956,,,,,,,41.5,55.3,중립
2016-04-06,,,46.91071986434536,,,,,,,46.9,50.2,중립
2016-04-07,,,48.450636968151436,,,,,,,48.5,46.9,중립
2016-04-08,,,47.390811346622876,,,,,,,47.4,47.0,중립
2016-04-11,,,46.39291669530492,,,,,,,46.4,46.1,중립
2016-04-12,,,53.295656760348635,,,,,,,53.3,48.5,중립
2016-04-14,,,67.52816902819983,,,,,,,67.5,52.6,중립
2016-04-15,,,66.75586497109421,,,,,,,66.8,56.3,중립
2016-04-18,,,63.178009163062725,,,,,,,63.2,59.4,중립
2016-04-19,,,64.0147504461975,,,,,,,64.0,63.0,탐욕
2016-04-20,,,60.39808057388247,,,,,,,60.4,64.4,탐욕
2016-04-21,,,66.4108335686869,,,,,,,66.4,64.2,탐욕
2016-04-22,,,62.27406299600418,,,,,,,62.3,63.3,탐욕
2016-04-25,,,61.68563743622024,,,,,,,61.7,63.0,탐욕
2016-04-26,,,63.68291823939302,,,,,,,63.7,62.9,탐욕
2016-04-27,,,60.83896512909425,,,,,,,60.8,63.0,탐욕
2016-04-28,,,52.243902281045045,,,,,,,52.2,60.1,탐욕
2016-04-29,,,48.76737815071651,,,,,,,48.8,57.4,중립
2016-05-02,,,41.713063573387736,,,,,,,41.7,53.4,중립
2016-05-03,,,46.0516554517387,,,,,,,46.1,49.9,중립
2016-05-04,,,42.08950865763274,,,,,,,42.1,46.2,중립
2016-05-09,,,38.791744896466376,,,,,,,38.8,43.5,중립
2016-05-10,,,46.27425992098644,,,,,,,46.3,43.0,중립
2016-05-11,,,45.29990942225573,,,,,,,45.3,43.7,중립
2016-05-12,,,44.20972337040299,,,,,,,44.2,43.3,중립
2016-05-13,,,40.03542365198928,,,,,,,40.0,42.9,중립
2016-05-16,,,40.56498002589291,,,,,,,40.6,43.3,중립
2016-05-17,,,40.65700906989456,,,,,,,40.7,42.2,중립
2016-05-18,,,36.10962973862856,,,,,,,36.1,40.3,중립
2016-05-19,,,32.65538364155552,,,,,,,32.7,38.0,공포
2016-05-20,,,33.27029193891549,,,,,,,33.3,36.7,공포
2016-05-23,,,38.4267749176474,,,,,,,38.4,36.2,공포
2016-05-24,,,32.21301861407704,,,,,,,32.2,34.5,공포
2016-05-25,,,44.72129492015683,,,,,,,44.7,36.3,공포
2016-05-26,,,43.41750216809655,,,,,,,43.4,38.4,공포
2016-05-27,,,49.03428539095137,,,,,,,49.0,41.6,중립
2016-05-30,,,48.16685744638506,,,,,,,48.2,43.5,중립
2016-05-31,,,55.00355046447915,,,,,,,55.0,48.1,중립
2016-06-01,,,54.678913298251004,,,,,,,54.7,50.1,중립
2016-06-02,,,55.66918698973218,,,,,,,55.7,52.5,중립
2016-06-03,,,55.98552097498972,,,,,,,56.0,53.9,중립
2016-06-07,,,65.38374310386563,,,,,,,65.4,57.3,중립
2016-06-08,,,69.57496810882098,,,,,,,69.6,60.3,탐욕
2016-06-09,,,67.9072806797858,,,,,,,67.9,62.9,탐욕
2016-06-10,,,64.1836126900109,,,,,,,64.2,64.6,탐욕
2016-06-13,,,47.604649741485304,,,,,,,47.6,62.9,탐욕
2016-06-14,,,45.30746586881803,,,,,,,45.3,58.9,중립
2016-06-15,,,44.2604584486677,,,,,,,44.3,53.9,중립
2016-06-16,,,39.1352235249983,,,,,,,39.1,48.1,중립
2016-06-17,,,39.76418748283043,,,,,,,39.8,43.2,중립
2016-06-20,,,50.57695851249962,,,,,,,50.6,43.8,중립
2016-06-21,,,51.115587297878776,,,,,,,51.1,45.0,중립
2016-06-22,,,54.458064186793436,,,,,,,54.5,47.0,중립
2016-06-23,,,52.175465274508916,,,,,,,52.2,49.6,중립
2016-06-24,,,35.428657068391615,,,,,,,35.4,48.8,중립
2016-06-27,,,36.007999059833004,,,,,,,36.0,45.8,중립
2016-06-28,,,39.41492700066274,,,,,,,39.4,43.5,중립
2016-06-29,,,46.06209196914688,,,29.67979609288205,,46.46636900670747,,40.7,40.8,중립
2016-06-30,,,50.153282441155305,18.205555070731858,26.84594105853566,47.701448246988804,83.88423551417095,36.2946177540814,,43.8,39.1,공포
2016-07-01,,,54.64703966188988,27.036500665861897,42.20117205386317,68.81143543940118,85.736602637063,6.657101458784831,,47.5,41.5,중립
2016-07-04,,,56.62720961583367,31.469294111617955,51.33485712857902,74.9659997438402,83.63182405309709,13.144565922144114,,51.9,44.7,중립
2016-07-05,,,54.865341235969716,13.734152389690976,18.659550864774122,72.4296520171485,53.05521250811089,18.207019937004326,,38.5,44.5,중립
2016-07-06,,,44.75828316004201,1.2916094907031481,1.171401448193222,24.743661646397147,44.421084353501136,20.242164509697698,,22.8,40.9,중립
2016-07-07,,,50.37615169520306,4.455784679067755,6.286230324089671,56.965157247262724,38.86534945382473,31.14568762013816,,31.3,38.4,공포
2016-07-08,,,47.64278839987465,3.9000659268918687,6.072795408582895,47.9191030151863,45.85075441047867,20.635064328960155,,28.7,34.6,공포
